Title,Payment,Job type,Experience / Level,Description
"Копірайтер, перекладач текстів",['Yes'],"['Remote', 'Part-time']",['Middle'],
Web UI/UX designer,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']","['No experience', 'Junior']","Привіт! Мене звати Роман, я Web designer початківець.Маю досвід в дизайні 1 рік, тому маю деякі напрацювання. Через війну була перерва в 1 рік, але хочу знову повернутися до цієї сфери та займатися дизайном ы надалі. Тому, не відмовлюся від допомоги в пошуку роботи, буду дуже вдячний та радий, якщо комусь знадобляться мої навички.Програмне забезпечення яким володію:- Adobe PhotoShop - на середньому рівні; ▰▰▰▱▱- Adobe Illustrator - на початковому рівні; ▰▱▱▱▱- Figma - вище середнього рівня; ▰▰▰▰▱- Tilda - на середньому рівні; ▰▰▱▱▱- AutoCAD - на середньому рівні; ▰▰▰▱▱- 1C:Підприємство 8 - на середньому рівні; ▰▰▱▱▱- MSOffice - на високому рівні; ▰▰▰▰▰- Notion - на початковому рівні. ▰▰▱▱▱*Швидко вчусь новим програмам, якщо це необхідно.Єдиний мінус не знаю Англійської, але добре володію перекладачем та потихеньку вчу самостійно її.Готовий поволонтерити при необхідності, з подальшим працевлаштуванням, щоб набратися більше досвіду. Моє портфоліо: www.behance.net/RomanKovalenko89Мій сайт на Tilda (зараз вивчаю Weblium та Webflow, щоб перенести свій сайт з російського Tilda на інший конструктор): http://romchikweb.tilda.ws/"
Залучення потенційних клієнтів за допомогою таргетованої реклами,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract']","['No experience', 'Junior']",ВітаюЯ пошуку нових проектів які потребують таргетованої реклами і хочуть залучати потенційних клієнтів на продаж свого товару/послуги.Також розглядаю варіанти влаштування таргетологом в агентствоРадий буду поспілкуватись з вами)
"Переклад текстів з російської, української та англійської мови",['Yes'],"['Remote', 'Full-time', 'Part-time']",['Middle'],
Технічний переклад,['Yes'],"['Remote', 'Full-time']",['Senior'],
Перекладу тексти з російської на українську,['Yes'],['Part-time'],,"Я Ірина, шукаю додатковий дохід, перекладу ваші тексти швидко і якісно"
Перекладач різних текстів,['Yes'],"['Remote', 'Part-time', 'Shifts']",['TOP'],
Журналіст/Редактор стрічки новин,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",['Junior'],"Вітаю! Мене звати Арсеній, я шукаю роботу редактора стрічки новин або журналіста. Маю деякий досвід, хочу й далі в цьому розвиватися та буду радий робити це з Вами.У мене досить добре виходить писати тексти (причому людською мовою, а не канцелярською). Я непогано знаю англійську та німецьку мови, базово володію Photoshop, Сanva та офісними програмами, маю широкий кругозір, досвід оформлення соц. мереж. Вмію працювати з WorsPress та графічними редакторами на базовому рівні. Багато читаю про стандарти журналістики та стараюся їх дотримуватися. Розуміюся на основах SMM (проходив спеціальні курси та стажувався в піар-агенції).Добре працюю в команді (можу підтвердити це досвідом свого волонтерства). Словом, я весела та товариська людина, але водночас відповідальна та працьовита.Прикріплюю також своє портфоліо: https://docs.google.com/document/d/1hZRBjogejt218pWbbugv6fkSPFFhJh3CVEuBdmOTROA/edit#heading=h.mml60716samhБуду радий можливостям для себе!!Мій Telegram для зв'язку: arseny_pipoyan"
Графічний дизайнер,['No'],"['Remote', 'Full-time', 'Part-time', 'Contract', 'Shifts']","['No experience', 'Junior']",Пройшов курси з графічного дизайну та зараз шукаю собі практику. Готовий до співпраці в якості волотера.Моє портфоліо:https://www.behance.net/pochuttianachevdoma
Переклад текстів з англійської мови на українську та російську.,['Yes'],"['Remote', 'Full-time', 'Part-time']",['Middle'],"Переклад текстів з англійської мови на українську та російську мови. Грамотно, рівень англійської середній і вище (В2-С1)."
Переклад текстів з англійської мови на українську та російську.,['Yes'],"['Remote', 'Full-time', 'Part-time']",['Middle'],"Рівень англійської В2-С1, грамотна українська та російська."
"Переклад з польської на українську, та з української на польську",['Yes'],"['Remote', 'Part-time']",['Junior'],
Журналіст,['Yes'],"['On-site / At the office', 'Full-time']",['Junior'],"Вітаю!Мене звати Юлія, мені 21 і я молодий спеціаліст. Цього літа я закінчила Інститут і дуже хочу побудувати успішну кар’єру.  В мене дуже багато натхнення та енергії працювати та практикувати те, чому мене навчили в університеті. Кожного семестру у нас були студентські проєкти, над котрими ми працювали семестр. Я допомагала створювати тур сайт (в нього не проплачений домен, але ми потім наші матеріали оформили в журнал), журнал про Київ (нижче), платформа про секс просвіту (https://t.me/censoredmd + https://www.instagram.com/censoredmediaprjct/ ). Завдяки інституту я розумію як готуватися до інтерв’ю, писати підводки, сценарії та багато іншого. Під час навчання я також проходила практики, які мене багато чому навчили. На другому курсі, за місяць до пандемії, я практикувалась в журналі “Міжнародний туризм”. Там я отримала досвід підготовки до інтерв’ю, розшифровки матеріалів, копірайтингу, та участі у масових заходах.На третьому курсі я проходила практику на hromadske. Перші три тижні практики я в основному розшифровувала синхрони та займалася аналізом випусків “Шустера” та російських  випусків новин. Інші три тижні я допомагала в написанні сценарію, пошуку героїв, підготовці до зйомок та зйомками “ОК, Аліна” (https://www.facebook.com/100007679075377/posts/pfbid0HTvxkM5cbNoPxLkAfDvHnfFdh2BMdFzQWVWYYMsCsVPecUSUbx8PB39SKz72QsCJl/?d=n )Щодо своїх компетенцій я вмію те, чому нас вчили в інституті і те, чому навчилась за період практик. Наприклад, це пошук та обробка інформації, розшифровка аудіо, написання текстів та сценаріїв, а також можу мінімально змонтувати відео. Якщо чогось не вмію – навчусь. Зараз я працюю адміністратором і за тиждень опанувала 1С і купу фінансових табличок, які все життя здавались мені “вищою ельфійською”. Тож якщо я в 1С розібралась, то і у всьому іншому розберусь :)"
"Архітектор, кресляр","['Yes', 'No']","['Remote', 'Full-time', 'Contract']",['Junior'],
Front-end developer looking for new opportunities,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",['Junior'],"My name is Roman and I would like to apply for the position of Junior Frontend Developer in your company. I am a Software engineer with a 1,5 of practise in Web Development (HTML/CSS/JS/TS/React). Also I have a strong educational background due to my degree in Computer Engineering (NULES)."
"Допомога у веденні соцмереж (Facebook, Instagram)",['Yes'],"['Remote', 'Full-time', 'Part-time', 'Contract']","['Junior', 'Middle', 'Senior']","Як я можу вам допомогти?Створення візуалів у Canva (пости, сторіз, хайлайтс).Написання текстів для соцмереж.Постинг, менеджмент, комунікація з клієнтами.Наразі шукаю проекти для наповнення портфоліо, тож готова братися за різні завдання. Буду рада співпраці."
Менеджер для інтернет - магазину,['Yes'],"['Remote', 'Full-time', 'Part-time', 'Shifts']",['Senior'],"Мої навички:- Консультація клієнтів щодо наявності товару, розміру, кольору тощо. (Інстаграм, сайт);- комунікація з клієнтами (відповіді на коментарі, запити в Direct, позначки тощо);- Приймання замовлень;- оформлення замовлень;- контроль оплат;- створення ТТН;- Робота в СРМ- гарна письмова річ на укр чи рос"
Перекладач з англійської мови,"['Yes', 'No']","['Remote', 'Part-time', 'Contract', 'Shifts']",['Junior'],"Я перекладач з англійської мови. Навчаюсь на третьому курсі англійської філології в академії фінансів і бізнесу «Вістула» у Варшаві. Мала досвід викладання англійської мови школярам у мовній школі, працювала протягом 2021 року. Зараз займаюся перекладами."
"Редактор, копірайтер",['Yes'],"['Remote', 'Part-time', 'Contract']","['Middle', 'Senior']","Маю досвід роботи в медіа — у газеті, на телебаченні та телеграм-каналі. Тривалий час свого життя присвятила викладацькій та науковій діяльності — працювала в університетах у Вінниці та Києві, викладала для студентів-журналістів і рекламістів. Наразі працюю діджитал-редактором одного із всеукраїнських каналів, однак у вільний час хотіла б присвятити себе додатковій діяльності: редакторській, авторській, коректорській."
"Психолог, може бути й фотографом",['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract']","['Junior', 'Middle', 'Senior']",
"Водій, експедитор",['Yes'],"['Full-time', 'Part-time', 'Shifts']",['TOP'],
Розробник C/C++,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Contract']","['No experience', 'Junior']","Розробник C/C++Я вивчав мову C/C++ на курсах від ITEA Academy і продовжую самостійно поглиблювати знання у цій мові.На даний момент активно шукаю першу роботу. НавикиАктивний користувач систем на базі ядра GNU/Linux - Linux Mint та інших базованих на Debian.C++14,C++17, CMake, Make, git, gcc, clang/clang++.Boost, Gtest, Catch2.Знайомий з електро-, радіо- та схемо- технікою, а також з Arduino Досвід роботи в електроустановках до 1кВ(1000В). Групи допуску не маю. ОсвітаЗа освітою я Технік з експлуатації систем обробки інформації та прийняття рішень.Бажана роботаХочу займатись розробкою для вбудованих систем або кросплатформною розробкою (Win,Linux)."
"Кризовий психолог, стрес, панічні атаки, тривожність",['Yes'],"['Remote', 'Full-time']",['Junior'],"Досвід роботи більше 3-х років. З початку війни допомогаю людям справлятися зі страхами, панікою, тревогою. Є досвід психотерапії панічних атак."
Я перекладач текстів з англійської мови.Шукаю клієнтів.,['Yes'],"['Remote', 'Contract']",['No experience'],
Ведення бухгалтерського обліку ФОП і ТОВ,['Yes'],"['Remote', 'Full-time']",['Senior'],"Пропоную послуги ведення бухгалтерського обліку ФОП та ТОВ всіх систем оподаткування на віддаленому доступі:. збір, систематизація, правильне оформлення первинних документів; ведення книги обліку доходів; формування та своєчасна подача фінансової, податкової та статистичної звітності до контролюючих органів; ведення кадрів (облік та документація); робота з клієнт-банком; розрахунок та виплата заробітної плати та інших нарахувань; розрахунок та своєчасна виплата всіх податків; ведення первинних документiв та акти звiрок з пoкупцями та постачальниками, товарний облік, сiльське господарство, розблокування податкових накладних, консультації по телефону. Працюю в електронному кабiнетi, у програмах 1с, медок.Допоможу визначитись з РРО!!! Також пропоную вiдновлення облiку ТОВ i ФОП. Послуги відкриття і закриття ФОП, додавання КВЕД та внесення інших змін до ФОП.Вартість послуг договірна, залежно від обсягів роботи. Завжди йдемо на зустріч клієнтам. Телефонуйте за номером, або пишіть в телеграмі : 0974276288 Ольга. Буду рада співпраці!!!"
Допоможу у створенні графічного контенту,"['Yes', 'No']","['Remote', 'Contract']",,"Якщо ви потребуєте допомоги дизайнера у створенні графічних матеріалів, звертайтесь за контактом."
Допоможу з веденням соц. мереж,"['Yes', 'No']","['Remote', 'Contract']",,"Якщо вам потрібна допомога з веденням соц. мереж, звертайтесь за контактом."
Допоможу зі створенням логотипа,"['Yes', 'No']","['Remote', 'Contract']",,"Якщо вам потрібно створити логотип, звертайтесь за контактом.Портфоліо: https://www.behance.net/collection/189243769/Logo-design"
SMM-менеджер / Випусковий редактор новин,['Yes'],"['Remote', 'Full-time']",['Middle'],"Мене звати Аліна Стародубець. Закінчила Київський університет ім. Грінченка, по спеціальностям:- філологія іноземних мов (диплом бакалавра);- реклама та зв'язки з громадськістю (диплом магістра з відзнакою).Під час проходження практики в університеті, працювала в медіа про креативні індустрії «Creativity.ua» та в Департаменті охорони здоров‘я міста Києва. Писала тексти, проводила моніторинг ЗМІ, працювала над їх соціальними мережами.Два роки займаюсь просуванням власного блога про SMM в мережі Instagram та каналу в Telegram.Щоб переглянути моє резюме, напишіть в Telegram."
Керівник відділу кадрів/персоналу,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time']",['Senior'],"Корони на голові не маю, готова працювати та використовувати усі знання напрацьовані за роки роботи.Досвід роботи більше 20 років. 14 років на керівних посадах. Працювала у сферах виробництва.Маю досвід роботи з персоналом, з ведення кадрової документації, з організації кадрової роботи з «0».Більш докладно у резюме, яке вишлю на пошту або за посиланням:www.work.ua/resumes/8038996/"
CRO / UX аудит онлайн магазину,['No'],"['Remote', 'Contract']",['Middle'],"Привіт. Я більше 5-ти років працюю в маркетингу і наразі хочу допомогти українським брендам покращити digital experience онлайн магазину.Аудит робиться на основі рекомендацій інституту UX досліджень Baymard, та складається з двох частин:- Аналітика конверсій (тут необхідний доступ до Google аналітики, або іншої аналітики)- UXТут можна подивитися приклад UX аудиту для магазину brabrabra.https://docs.google.com/presentation/d/1N2zXUq5C9ew_Z-wRLrqGGGsYL9LADBCjenGkKvhSTHY/edit?usp=sharing"
Водій,['Yes'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",['TOP'],"Водійське посвідчення більш 11 років, гарне володіння транспортними засобами. Дніпропетровська а також Донецька область. Мешканець Покровська в даний час перебуваю у Дніпрі"
"Відеомонтаж, контентмейкінг для соціал медіа","['Yes', 'No']","['Remote', 'Part-time', 'Shifts']","['No experience', 'Junior']","Привіт. Я Мар‘яна. Я монтажер відео, а також дописувачка різного виду контенту. Якщо Вам потрібно змонтувати відео для бізнесу, для вашого блогу, а також написати цікавий текс для соцмереж чи просування продукту. Я готова допомогти!"
Web UI/UX designer,['Yes'],"['Remote', 'Full-time', 'Part-time', 'Contract', 'Shifts']",['Middle'],"Розроблюю дизайн мобільних додатків, веб сайтів, презентацій, таплінків. Свою роботу виконую професійно: працюю с компонентами, авто лаяутами, стилями, плагінами. Маю 4-річний досвід в дизайні. Працювала з такими компаніями: AppCake, TommyGun, APAG Media, Завод Мороза та на фрилансі"
Професійний монтаж відео.,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']","['Senior', 'TOP']","Професійний монтаж матеріалів або матеріалів із інтернету, відео, фото з зведенням музики. Базова корекція кольору та графічний дизайн."
Навчу Вас створювати власні Телеграм боти безкоштовно,['No'],"['Remote', 'Part-time']","['No experience', 'Junior']","Мене звати Ігор. Я програміст. Маю різноманітний досвід, але останнім часом займаюся розробкою Телеграм ботів. Зараз я трохи психологічно вигорів, тому хочу спробувати себе в якості ментора і таким чином розширити своє коло спілкування, познайомитися із цікавими людьми."
"Диктор, актор озвучування та дубляжу","['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",['TOP'],"Вітаю! Мене звати Дмитро Нежельський, я професійний актор, актор озвучування та дубляжу, диктор.Хочу запропонувати свої послуги в якості диктора - актора озвучування. З задоволенням долучуся, до нашої спільної перемоги на інформаційному фронті.Є можливість записуватися як дистанційно так і на виїзді. Досвід роботи близько 20 років. Володію українською та російською мовами.Співпрацюю з багатьма студіями тапродакшенами, центральними телеканалами, та студіями дубляжу.Brand voice телеканалів : ""Футбол1/Футбол2/Футбол3"" ; ""Новый Мир"" ; ""Надія"";Nicky Kid's"".ex brand voice телеканалу TVi и радіо Nostalgie.Прослухати та побачити мої роботи можна за цими посиланнями:https://www.youtube.com/user/grafNezhelskiy/playlists"
Web developer,['Yes'],"['On-site / At the office', 'Full-time', 'Part-time', 'Contract']",['Junior'],"Щукаю роботу Веб-верстальника.Мій аккаунт на github: https://github.com/grinata101Проекти над якими працювала:1.  сайт резюме: https://natalia-gritsaienko-resume.netlify.app/ - перший проект2.  відео звіт роботи над командним проектом: https://loom.com/share/2004af1762b241ffb1603c8d7bf24f503.  пошук багів на сайті Skillbox.4.  https://one-page-website1.netlify.app/ - односторінковий сайт. По макету з фотошопа.5.  https://cat-psychologist.netlify.app/  -  проект з JS6.  https://for-skillbox.netlify.app/ - завдання з skillbox7.  https://dashboard-1-for-test-work.netlify.app/ - тестове завдання для компаніїНавички роботи з комп'ютером:HTML, CSS, JS, SQL.Visual Studio Code, Figma, Discord, GitPod, GitLab, Google Chrome Devtools.Photoshop, PowerPoint, Word, Excel, 1С 8, Медок, Dropbox, Binotel, CRM, Битрикс24.Освіта та розвиток у ІТ: (11 місяців на 01.11.2022)2022 (6 місяців) - онлайн школі “Skillbox”2022 (1 місяц) Курс “Веб-верстка” - HTML, CSS, JS - компанія SoftServe2022 (1 тиждень)Курс “Веб-верстка” - HTML, CSS - в онлайн школі “GoIt”2021-2022 роки (4 міс)Курси “Інженер з тестування” в онлайн школі “Skillbox” Що до мене як людини:Постійно вдосконалююсь. І важаю що це найважливіше у сучасному житті.Відповідальна, не конфліктна, наполеглева."
Front-end Developer,['Yes'],"['Remote', 'On-site / At the office', 'Full-time']",['Junior'],"Over the past 6 month, as a Front-end Developer, I have developed and launched some features and e-commerce solutions using advanced technologies. In addition, I have consistently met client expectations and project milestones while working effectively in deadline-driven environments."
UAM (User Acquisition Manager Facebook ads),"['Yes', 'No']","['Remote', 'Full-time', 'Part-time']","['Junior', 'Middle']","З 2021 року працював в компанії з розробки ігор Payrix на позиції User Acquisition Manager, з наступними обов'язками: - запуск та оптимізація рекламних кампаній в Facebook Ads; - тестування та ротація креативів; - аналіз эфективності рекламних кампаній, виконання іх в KPI; - проведення експериментів та досліджень; - розробка та запровадження внутрішніх інструментів (автоматизація процесів, документація); - робота з візуалізацією даних: створення та налаштування кастомних дашбордів в Tableau.https://www.linkedin.com/in/yevhenii-maslennikov-14431794"
"Редактор/перекладач текстів (рос, укр, англ)","['Yes', 'No']","['Remote', 'Part-time']",['Junior'],"Зараз працюю редактором в маркетинговому агентстві та маю час допомагати з перекладами (з російської, англійської на українську і навпаки) та редагуванням текстів. Володію англійською на рівні В2. За освітою — філолог. Можу виконувати роботу як безкоштовно, так і за оплату."
Психолог-психоаналiтик,['Yes'],"['Remote', 'Part-time']",['Middle'],"Вiтаю! Я психолог аналiтичного спрямування. Працюю с молоддю вiд 18 рокiв та дорослими людьми за темами: депресiя, тривожний стан, емоцiйне вигорання, вiдчуття самотностi, ПТСР та iн."
"Фінансист, менеджер проекту",['No'],"['Remote', 'On-site / At the office', 'Full-time', 'Part-time']","['Senior', 'TOP']",
Фотограф / Відео оператор. Репортаж.,"['Yes', 'No']","['On-site / At the office', 'Part-time', 'Contract']",['Middle'],Всім Україна.Шукаю роботу фотографом / оператором.Київ - Дніпро.Знімаю репортаж.Студійна зйомка - обговорюється.
Послуги системного адміністрактора,"['Yes', 'No']","['Remote', 'On-site / At the office', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,"Пропоную послуги молодшого системного адміністратора / cистемного адміністратораРемонт, сервісне обслуговування та адміністрування компʼютерних систем:    – діагностування та усунення неполадок у комп'ютерній системі;    – підбір конфігурації, складання, модернізація ПК;    – монтаж комп'ютерної техніки;    – встановлення і конфігурування апаратного забезпечення;    – встановлення і конфігурування програмного забезпечення, оновлень;    – конфігурування та супровід резервування даних;    – консультування з питань інформатизації.Сервісне обслуговування та адміністрування офісного обладнання (оргтехніка, мережеве обладнання):    – конфігурування маршрутизаторів / точок доступу;    – конфігурування мережевої оргтехніки.Навички веб-дизайну (HTML, CSS, Bootstrap, Javascript)."
Послуги SMM та Копірайтинг,['Yes'],"['Remote', 'Full-time', 'Part-time', 'Contract', 'Shifts']",['Middle'],"Я копірайтерка із стажем від двох років. Готова взятись за будь-який проєкт, адже вмію писати на різні теми. Вела різні соціальні мережі, тож розуміюсь на tone of voice кожної. ( Твіттер, Фейсбук, Інстаграм)Загальний приріст підписників за моєї участі - близько 5000 за декілька місяців.За потреби, можу писати англійською - мій рівень B2."
Послуги копірайтингу,['Yes'],"['Remote', 'Part-time', 'Contract']",['Middle'],"Пишу тексти для соцмереж, сайтів та лендингів, статті. Закінчила «Академію копірайтингу» Єви Висоцької, курс із копірайтингу та маркетингу. Портфоліо надсилаю в телеграм."
Доставка гуманітарного вантажу безкоштовно,['No'],"['On-site / At the office', 'Part-time']",,Допомагаємо благодійним організаціям в доставці гуманітарного вантажу БЕЗКОШТОВНОНаразі вільні напрямки:Луцьк =>ЛьвівКременчук=>Київ=>ЛуцькДо 900 кг факт і до 1.5 куба об'ємНаявність документів на вантаж обов‘язково!Звертатися в приватні повідомлення.
Психолог у психоаналітичному підході,['Yes'],"['Remote', 'Full-time', 'Part-time', 'Contract', 'Shifts']",,"Доброго дня! Мене звуть Валерія Крижанівська. Я магістр клінічної психології, також є кандидатом у психотерапевти за методом Символдрами. Спеціалізуюся: -на відносини в парі (розлучення, зради, криза відносин) -робота з підлітками (підліткові кризи, конфлікти з дитиною, розлад харчової поведінки) -відношення до себе (особистісні кризи, впевненість у собі, пошук себе) -емоційний стан (панічні напади, депресія, тривога, страхи)"
"Будь-яка онлайн робота, готова навчитися, хочу бути корисною",['Yes'],"['Remote', 'Full-time', 'Part-time']",,"Мене звати Інна. Нині я, як переселенка, перебуваю не в рідній області, тому шукаю підробіток онлайн. Можу допомогти з написанням текстів, працювати менеджером онлайн магазину тощо. Відповідальна та готова вчитися."
Створюю контент для бізнесу та особистих сторінок,"['Yes', 'No']","['On-site / At the office', 'Contract']",,"Ви маєте бізнес чи розвиваєте особисту сторінку - пропоную послуги відео та фото зйомки, а також створення анімацій для рекламних креативів чи Reels. Для напрацювання портфоліо та пошуків клієнтів в Тернополі зараз БЕЗКОШТОВНО. Із-за війни потрапила до Тернополя з Київської області - мені дуже подобається місто і я хочу спробувати розвиватися тут. Відкрита до співпраці та реалізації ваших ідей. Також буду рада підтримати волонтерський рух у веденні сторінок і створенню контенту."
